state,STATEFP,median_household_income,median_gross_rent,median_monthly_income,rent_to_income_pct,income_class,rent_class,bivariate_class
Alabama,01,54943,841,4579,18.4,1,1,1-1
Alaska,02,77790,1258,6482,19.4,3,3,3-3
Arizona,04,65913,1162,5493,21.2,2,2,2-2
Arkansas,05,50540,808,4212,19.2,1,1,1-1
California,06,84097,1747,7008,24.9,3,3,3-3
Colorado,08,82756,1480,6896,21.5,3,3,3-3
Connecticut,09,83572,1259,6964,18.1,3,3,3-3
Delaware,10,72724,1144,6060,18.9,3,2,2-3
District of Columbia,11,101027,1657,8419,19.7,3,3,3-3
Florida,12,63061,1392,5255,26.5,1,3,3-1
Georgia,13,65030,1148,5419,21.2,2,2,2-2
Hawaii,15,88005,1858,7334,25.3,3,3,3-3
Idaho,16,63377,1020,5281,19.3,2,2,2-2
Illinois,17,72205,1050,6017,17.5,2,2,2-2
Indiana,18,62743,883,5229,16.9,1,1,1-1
Iowa,19,65429,815,5452,14.9,2,1,1-2
Kansas,20,64124,882,5344,16.5,2,1,1-2
Kentucky,21,55573,836,4631,18.1,1,1,1-1
Louisiana,22,52087,877,4341,20.2,1,1,1-1
Maine,23,63001,1004,5250,19.1,1,2,2-1
Maryland,24,94991,1499,7916,18.9,3,3,3-3
Massachusetts,25,89645,1584,7470,21.2,3,3,3-3
Michigan,26,63202,925,5267,17.6,2,2,2-2
Minnesota,27,77706,1043,6476,16.1,3,2,2-3
Mississippi,28,48716,798,4060,19.7,1,1,1-1
Missouri,29,61303,890,5109,17.4,1,1,1-1
Montana,30,60560,967,5047,19.2,1,2,2-1
Nebraska,31,66644,869,5554,15.6,2,1,1-2
Nevada,32,66274,1290,5523,23.4,2,3,3-2
New Hampshire,33,90845,1247,7570,16.5,3,3,3-3
New Jersey,34,97126,1466,8094,18.1,3,3,3-3
New Mexico,35,51945,903,4329,20.9,1,1,1-1
New York,36,75157,1490,6263,23.8,3,3,3-3
North Carolina,37,60516,1042,5043,20.7,1,2,2-1
North Dakota,38,68131,826,5678,14.5,2,1,1-2
Ohio,39,61938,882,5162,17.1,1,1,1-1
Oklahoma,40,56956,847,4746,17.8,1,1,1-1
Oregon,41,70084,1319,5840,22.6,2,3,3-2
Pennsylvania,42,67587,1014,5632,18.0,2,2,2-2
Rhode Island,44,74008,1145,6167,18.6,3,2,2-3
South Carolina,45,59318,1014,4943,20.5,1,2,2-1
South Dakota,46,64828,783,5402,14.5,2,1,1-2
Tennessee,47,59695,960,4975,19.3,1,2,2-1
Texas,48,66963,1175,5580,21.1,2,2,2-2
Utah,49,79133,1306,6594,19.8,3,3,3-3
Vermont,50,72431,1083,6036,17.9,2,2,2-2
Virginia,51,80963,1392,6747,20.6,3,3,3-3
Washington,53,84247,1497,7021,21.3,3,3,3-3
West Virginia,54,48037,741,4003,18.5,1,1,1-1
Wisconsin,55,67080,871,5590,15.6,2,1,1-2
Wyoming,56,68002,935,5667,16.5,2,2,2-2
